topology,num_nodes,protocol,pdr,avg_delay_ms,avg_jitter_ms,loss,max_delay_ms,throughput_kbps,avg_hops,tx,rx,lost
grid-25,25,AODV,87.08333333333333,103.64751196172247,82.63951482097545,12.916666666666668,2744.86,1.7834666666666668,0.028708133971291867,240,209,31
grid-25,25,OLSR,60.924369747899156,149.57165517241378,155.1027255311738,31.092436974789916,1880.39,1.2373333333333332,0.0,238,145,74
random-50,50,AODV,20.0,1.38738,0.4206171717171717,82.39999999999999,3.4115,0.32,0.0,500,100,412
random-50,50,OLSR,100.0,1.52367,0.6259383838383838,0.0,7.3677,0.32,0.0,100,100,0
random-75,75,AODV,31.0,324.3383225806452,217.15741567104737,70.19999999999999,3633.45,0.40697435897435896,0.11612903225806452,500,155,351
random-75,75,OLSR,36.92307692307693,791.1970833333334,506.04664583333334,63.07692307692307,3832.4,0.06301538461538461,0.0,65,24,41
