topology,num_nodes,protocol,pdr,avg_delay_ms,avg_jitter_ms,loss,max_delay_ms,throughput_kbps,avg_hops,tx,rx,lost
grid-25,25,AODV,46.041666666666664,90.82266063348418,14.684412424996777,49.541666666666664,2620.1,9.429333333333334,0.02262443438914027,2400,1105,1189
grid-25,25,OLSR,56.84302579798863,57.77540769230769,28.78429240422933,39.0030607783122,4349.58,11.093333333333334,0.0,2287,1300,892
random-50,50,AODV,20.0,1.40432,0.5024794794794795,80.0,28.4532,6.826666666666667,0.0,5000,1000,4000
random-50,50,OLSR,100.0,1.2939200000000002,0.27743643643643645,0.0,15.2927,6.826666666666667,0.0,1000,1000,0
random-75,75,AODV,60.3,17.475548922056383,5.235967670491539,39.7,1181.33,17.152,0.004643449419568822,5000,3015,1985
random-75,75,OLSR,77.1227690643591,10.294246143057505,4.610030638872316,22.87723093564089,1194.27,16.224711111111112,0.0,3698,2852,846
